,driver_id,charge_path
48,4807a56abc-36ba-40f4-b682-1765653b2516,"[0.66667277 0.66667277 0.66667277 0.66667277 0.66667277 0.66667277
 0.66667277 0.66667277 0.66667277 0.66667277 0.66667277 0.66667277
 0.66667277 0.68333333 0.8        0.8        0.79489051 0.71720773
 0.69261978 0.69261978 0.6855134  0.6855134  0.68331315 0.66031774]"
49,49f96f0dfb-0f60-4cc8-80a2-cb3d48c4d0ea,"[0.69258638 0.69258638 0.69258638 0.69258638 0.69258638 0.69258638
 0.69258638 0.69258638 0.69258638 0.69258638 0.69258638 0.69258638
 0.69258638 0.8        0.8        0.8        0.74233313 0.67892663
 0.66003583 0.61636908 0.57041784 0.52230654 0.52230654 0.51505447]"
50,50d599a4ab-7f8e-40b2-a726-fc137a359f8a,"[0.67495276 0.67495276 0.67495276 0.67495276 0.67495276 0.67495276
 0.67495276 0.67495276 0.67495276 0.67495276 0.67495276 0.67495276
 0.68333333 0.8        0.78778976 0.77246334 0.77246334 0.76312628
 0.73751039 0.73751039 0.691662   0.68192096 0.68139494 0.66252281]"
51,51537e455d-06b1-43fe-b7f4-13b6ee633608,"[0.70754393 0.70754393 0.70754393 0.70754393 0.70754393 0.70754393
 0.70754393 0.70754393 0.70754393 0.70754393 0.70754393 0.70754393
 0.70754393 0.70754393 0.70754393 0.70754393 0.8        0.8
 0.8        0.8        0.73698715 0.71860145 0.71854813 0.69826032]"
52,5200f63bb0-e6e9-4599-ab90-d11c6fd15624,"[0.68103717 0.68103717 0.68103717 0.68103717 0.68103717 0.68103717
 0.68103717 0.68103717 0.68103717 0.68103717 0.68103717 0.68103717
 0.68103717 0.68333333 0.8        0.75754009 0.71977894 0.71977894
 0.70494341 0.70494341 0.64923124 0.64923124 0.61867392 0.61245482]"
53,53f79e3404-6704-4385-85f3-5cee09f41f5f,"[0.68146117 0.68146117 0.68146117 0.68146117 0.68146117 0.68146117
 0.68146117 0.68146117 0.68146117 0.68146117 0.68146117 0.68333333
 0.8        0.77576166 0.77576166 0.76373906 0.76341925 0.76341925
 0.75331674 0.73378689 0.72860969 0.71016915 0.71016915 0.69216555]"
54,543d4ef5f9-f48b-4116-8658-d67312973036,"[0.6544768  0.6544768  0.6544768  0.6544768  0.6544768  0.6544768
 0.6544768  0.6544768  0.6544768  0.6544768  0.6544768  0.6544768
 0.68333333 0.8        0.8        0.8        0.8        0.8
 0.7901352  0.7901352  0.78343973 0.75724493 0.74208628 0.71186104]"
55,55835312b4-68bb-43ff-9540-64b9396bb4bc,"[0.72428776 0.72428776 0.72428776 0.72428776 0.72428776 0.72428776
 0.72428776 0.72428776 0.72428776 0.72428776 0.72428776 0.8
 0.78560165 0.78430074 0.7636179  0.72585181 0.71511358 0.68168129
 0.66899094 0.66899094 0.65127877 0.63114986 0.63114986 0.61620236]"
56,56cc2b8a22-c7cc-438a-99ca-0101bdec6bbd,"[0.65257259 0.65257259 0.65257259 0.65257259 0.65257259 0.65257259
 0.65257259 0.65257259 0.65257259 0.68333333 0.8        0.8
 0.79342152 0.7765995  0.7681583  0.7681583  0.73927925 0.72213684
 0.696464   0.696464   0.69072666 0.69072666 0.67184902 0.65773287]"
57,57cbe98c08-2a20-41ae-b97a-8093e8d17a3f,"[0.62858419 0.62858419 0.62858419 0.62858419 0.62858419 0.62858419
 0.62858419 0.62858419 0.62858419 0.62858419 0.62858419 0.62858419
 0.68333333 0.8        0.79980291 0.76867851 0.75898678 0.74171751
 0.73178756 0.68759126 0.65789863 0.57511617 0.5709029  0.5709029 ]"
58,58bd4083e9-0c7b-4171-a659-e962ee8d508e,"[0.68245977 0.68245977 0.68245977 0.68245977 0.68245977 0.68245977
 0.68245977 0.68245977 0.68245977 0.68333333 0.8        0.8
 0.8        0.79089479 0.768085   0.768085   0.75629729 0.75629729
 0.75629729 0.73454647 0.71222101 0.71181927 0.71181927 0.67902948]"
59,59567621d8-e511-40cc-8c25-8565dee6ffd5,"[0.70652186 0.70652186 0.70652186 0.70652186 0.70652186 0.70652186
 0.70652186 0.70652186 0.70652186 0.70652186 0.70652186 0.70652186
 0.70652186 0.70652186 0.70652186 0.70652186 0.8        0.78175065
 0.70533798 0.68402175 0.63406898 0.63047795 0.58908208 0.58908208]"
60,60d3170b45-93d7-4bec-8d2b-cb08e8e558b0,"[0.62070732 0.62070732 0.62070732 0.62070732 0.62070732 0.62070732
 0.62070732 0.62070732 0.62070732 0.62070732 0.62070732 0.68333333
 0.8        0.8        0.77851545 0.77252524 0.74390758 0.71956069
 0.71956069 0.71921894 0.69857992 0.69857992 0.67207732 0.66606846]"
61,617836d7aa-c1e5-4df6-b750-360d08761e76,"[0.65909465 0.65909465 0.65909465 0.65909465 0.65909465 0.65909465
 0.65909465 0.65909465 0.65909465 0.65909465 0.68333333 0.8
 0.8        0.8        0.74589497 0.72130013 0.69093749 0.66805075
 0.66231484 0.64087253 0.59234201 0.52259234 0.48986587 0.48986587]"
62,62fd73e295-f5e0-4fd5-9bd7-cf7722a82561,"[0.65255948 0.65255948 0.65255948 0.65255948 0.65255948 0.65255948
 0.65255948 0.65255948 0.65255948 0.65255948 0.65255948 0.65255948
 0.65255948 0.68333333 0.8        0.78894808 0.78894808 0.78894808
 0.78002514 0.78002514 0.78002514 0.77578102 0.75202866 0.73599629]"
63,63d8615379-998d-4dbb-aa67-9c1de0efa9a5,"[0.64864343 0.64864343 0.64864343 0.64864343 0.64864343 0.64864343
 0.64864343 0.64864343 0.64864343 0.64864343 0.68333333 0.8
 0.8        0.77610805 0.75057301 0.72135872 0.69570938 0.69570938
 0.69570938 0.6765625  0.6765625  0.64826494 0.64826494 0.6195284 ]"
64,6476f05302-dcfb-4391-aeb8-edfbc5bf0cf4,"[0.71241764 0.71241764 0.71241764 0.71241764 0.71241764 0.71241764
 0.71241764 0.71241764 0.71241764 0.71241764 0.71241764 0.71241764
 0.71241764 0.71241764 0.71241764 0.71241764 0.8        0.8
 0.75628935 0.75628935 0.70516107 0.66783165 0.66783165 0.66783165]"
65,65f132a775-5e3e-46b8-ab1b-ba987f71efcd,"[0.68311544 0.68311544 0.68311544 0.68311544 0.68311544 0.68311544
 0.68311544 0.68311544 0.68311544 0.68311544 0.68311544 0.68311544
 0.68333333 0.8        0.75152404 0.67393537 0.66731904 0.61192253
 0.61192253 0.61192253 0.61192253 0.59651217 0.56659769 0.54204851]"
66,66fd1df781-61b3-408c-852e-98fc0de23702,"[0.72900399 0.72900399 0.72900399 0.72900399 0.72900399 0.72900399
 0.72900399 0.72900399 0.72900399 0.72900399 0.72900399 0.72900399
 0.72900399 0.8        0.8        0.8        0.78257516 0.7754348
 0.7754348  0.7652735  0.73264538 0.72354015 0.72354015 0.7057362 ]"
67,67ee2e69ac-959d-48ce-9412-9bb6d862208d,"[0.75868675 0.75868675 0.75868675 0.75868675 0.75868675 0.75868675
 0.75868675 0.75868675 0.75868675 0.75868675 0.75868675 0.75868675
 0.75868675 0.8        0.8        0.8        0.78830184 0.734504
 0.734504   0.731777   0.73096558 0.71659757 0.71659757 0.6744408 ]"
68,687d170e2c-a92a-414c-b192-0f073f2dbb95,"[0.65568914 0.65568914 0.65568914 0.65568914 0.65568914 0.65568914
 0.65568914 0.65568914 0.65568914 0.65568914 0.65568914 0.65568914
 0.65568914 0.65568914 0.65568914 0.68333333 0.8        0.7803042
 0.7803042  0.77139243 0.77139243 0.7083613  0.7083613  0.7083613 ]"
69,696700ccec-4d30-4534-b39e-7cd22502efac,"[0.76908018 0.76908018 0.76908018 0.76908018 0.76908018 0.76908018
 0.76908018 0.76908018 0.76908018 0.76908018 0.76908018 0.76908018
 0.76908018 0.76908018 0.76908018 0.76908018 0.8        0.8
 0.77409382 0.76083286 0.73615297 0.71068042 0.70740876 0.69732799]"
70,70a9bb90c9-6a8f-4fd2-b03f-9ef7a3d1b2af,"[0.70983999 0.70983999 0.70983999 0.70983999 0.70983999 0.70983999
 0.70983999 0.70983999 0.70983999 0.70983999 0.70983999 0.70983999
 0.70983999 0.70983999 0.8        0.7757893  0.74845319 0.7251864
 0.7251864  0.7251864  0.70013233 0.70013233 0.66898634 0.66898634]"
71,71d384fa1b-32e0-483a-ac53-b06083160c57,"[0.66438704 0.66438704 0.66438704 0.66438704 0.66438704 0.66438704
 0.66438704 0.66438704 0.66438704 0.66438704 0.66438704 0.68333333
 0.8        0.8        0.76476307 0.73822245 0.71193295 0.70740124
 0.69011022 0.68055266 0.67817462 0.66875278 0.64553156 0.64258868]"
72,727e40ab21-1d4e-46b8-a347-83b967d00160,"[0.74689434 0.74689434 0.74689434 0.74689434 0.74689434 0.74689434
 0.74689434 0.74689434 0.74689434 0.74689434 0.74689434 0.74689434
 0.74689434 0.74689434 0.8        0.72710174 0.6850018  0.68471264
 0.68471264 0.63406677 0.63406677 0.63406677 0.58531853 0.5206705 ]"
73,737889ad4e-2d07-444d-959e-3c5f6ffb33ab,"[0.65499507 0.65499507 0.65499507 0.65499507 0.65499507 0.65499507
 0.65499507 0.65499507 0.65499507 0.65499507 0.65499507 0.65499507
 0.68333333 0.8        0.78573485 0.78573485 0.78573485 0.77887543
 0.77887543 0.73621794 0.73460317 0.73460317 0.73460317 0.73460317]"
74,74524eefe8-d68c-4b12-8ce5-22a073fbfb67,"[0.69610207 0.69610207 0.69610207 0.69610207 0.69610207 0.69610207
 0.69610207 0.69610207 0.69610207 0.69610207 0.69610207 0.69610207
 0.8        0.78699395 0.78699395 0.74222427 0.73523306 0.72349228
 0.6600695  0.65895808 0.65895808 0.6389116  0.60230992 0.60230992]"
75,75eef46932-617e-411c-a6e3-0f873080b8d0,"[0.65151457 0.65151457 0.65151457 0.65151457 0.65151457 0.65151457
 0.65151457 0.65151457 0.65151457 0.65151457 0.65151457 0.68333333
 0.8        0.8        0.72452832 0.72452832 0.72452832 0.69145512
 0.68063059 0.66358893 0.65702601 0.65702601 0.65702601 0.64155122]"
76,76201201a4-1d01-4881-8dcf-0f979e7a555b,"[0.65140213 0.65140213 0.65140213 0.65140213 0.65140213 0.65140213
 0.65140213 0.65140213 0.65140213 0.65140213 0.65140213 0.65140213
 0.65140213 0.68333333 0.8        0.76477777 0.74379451 0.72055731
 0.72030534 0.71567623 0.71567623 0.71567623 0.70407741 0.70407741]"
77,773832badc-5df9-4e60-8e8f-25a394a78b42,"[0.669868   0.669868   0.669868   0.669868   0.669868   0.669868
 0.669868   0.669868   0.669868   0.669868   0.669868   0.669868
 0.68333333 0.8        0.8        0.8        0.79315722 0.79315722
 0.7536683  0.7536683  0.7536683  0.74707662 0.74707662 0.7404951 ]"
